Review,Year,user_id,Location,Helpful votes,Country,Country_code,Cleaned,Label_1,Label_2,Label_3,Label,
"You will need to be much more specific with your question about Freedom Australia and New Zealand.
Also, for meaningful recommendations, you need to provide some information about your interests and what you hope to get out of your trip here. When, how much time, your travel style, etc etc? Without that, we would be taking a stab in the dark. More information you provide, better advise you get.",2016,cromansydney,Sydney,No Rating,Australia,0,you need much specific question freedom australia new zealand.also meaningful recommendations need provide information interests hope get trip here. when much time travel style etc etc without would taking stab dark. more information provide better advise get.,0,0,1,0,
I would like to know if this company provided a good service and would others recommend it. I would also like recommendations for any other companies that travellers have used for self drive tours in Australia and New Zealand.,2016,susanes22,Daviot,5,Australia,0,i would like know company provided good service would others recommend it. i would also like recommendations companies travellers used self drive tours australia new zealand.,1,0,1,1,
"Since it's an British company selling tours to Brits coming to the Antipodes, you probably won't find many locals on this forum that have used the company.
You might find more answers if you post on one of the non-destination forums. Bargain Travel attracts a lot of posts about tour companies.",2016,emel49,Sydney/Melbourne,83,Australia,0,since british company selling tours brits coming antipodes probably wont find many locals forum used company.you might find answers post one nondestination forums. bargain travel attracts lot posts tour companies.,0,2,2,2,
"If you don't mind a bit of researching then doing a DYI self drive holiday is very easy for Australia and NZ.
If you want to go through this route then do some preliminary research and get back to us with your ideas plus dates of travel, interests, budget and there's lots of people in this forum willing to help you fine tune an itinerary.",2016,JeanPerth,"Albany, Australia",96,Australia,0,if dont mind bit researching dyi self drive holiday easy australia nz.if want go route preliminary research get back us ideas plus dates travel interests budget theres lots people forum willing help fine tune itinerary.,0,1,0,0,
"Yes, if you want a self-drive tour then you don't need a travel company.
Really they are just then going to be taking a cut for booking hotels for you which you could have done yourself online.
Booking flights, hiring cars and getting visas etc is all very easy.",2016,Waddler,"York, United Kingdom","1,269",Australia,0,yes want selfdrive tour dont need travel company.really going taking cut booking hotels could done online.booking flights hiring cars getting visas etc easy.,0,1,1,1,
hi ....planning to visit austria from zurich in october for 4 days....what is d best way to see austria by car?or eurail?whch places to visit?pls help,2015,ttravelbugs,Mumbai,No Rating,Austria,1,hi ....planning visit austria zurich october days....what best way see austria caror eurailwhch places visitpls help,0,0,0,0,
"all depends on what you want to see and do! if car suits you, use one. better way to see the country when you want to.
you could visit anywhere, but if coming from zurich, Salzburg and surrounds would appear to be the obvious choice.",2015,nakagoli,"Dublin, Ireland",79,Austria,1,depends want see car suits use one. better way see country want to.you could visit anywhere coming zurich salzburg surrounds would appear obvious choice.,2,1,1,1,
"I would first do a little research before coming here asking these questions.
Salzburg is just one of many possibilities.
If just planning city visits the train option is probably best-
http://www.oebb.at
if looking for countryside and small villages an auto can be a good option-
a good place to begin
http://www.austria.info
also your interests- country side - cities- museums- churches- palaces- scenery.
After a chance to get more info - return with any questions.",2015,vertical,vienna,51,Austria,1,i would first little research coming asking questions.salzburg one many possibilities.if planning city visits train option probably bestif looking countryside small villages auto good optiona good place beginalso interests country side cities museums churches palaces scenery.after chance get info return questions.,0,1,1,1,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2016,,,,Austria,1,this topic closed new posts due inactivity.what forum guidelines,2,0,0,0,
"hi
I am am planning a trip to Austria and Germany next May/June, and wanted some destination suggestions in Austria.
I plan to visit Vienna, Salzburg, Zell Am See.. Not sure where else?
Maybe a total of 8 days around Austria then heading to Germany.
Besides Vienna, should I stay in Zell Am See and do day trips to Salzburg? Or vice versa? Or any other suggestions to stay at?
Somewhere where with a town and train connections to do the day tours.
Thanx",2016,Travelerr07,"Charlotte, North...",32,Austria,1,hii planning trip austria germany next mayjune wanted destination suggestions austria.i plan visit vienna salzburg zell am see.. not sure elsemaybe total days around austria heading germany.besides vienna i stay zell am see day trips salzburg or vice versa or suggestions stay atsomewhere town train connections day tours.thanx,1,0,0,0,
Vienna Salzburg----with trips to the Salzkammergut area---and Zell am see are quite enough in only 8 days. Salzburg itself or the Salzkammergut area on the 150 bus route and train .St Gilgen is perfect if just using bus and boat or Bad Ischl for bus and train connections.,2016,roefamilyUk,"York, United Kingdom",64,Austria,1,vienna salzburgwith trips salzkammergut areaand zell see quite enough days. salzburg salzkammergut area bus route train .st gilgen perfect using bus boat bad ischl bus train connections.,0,1,1,1,
"How about Graz, Klagenfurt (+ Lake Wörthersee) and/or Innsbruck?
Edited: 7 years ago",2016,Michael S,"Vienna, Austria",167,Austria,1,how graz klagenfurt lake wrthersee andor innsbruckedited: years ago,1,0,0,0,
Check Salzkammergut and Wachau valley near Vienna.,2016,Salzburger67,Vienna,24,Austria,1,check salzkammergut wachau valley near vienna.,1,1,0,1,
"Are these places (Graz and Innsbruck) possible for day trips from Salzburg or Zell Am See?
My plan is to stay 3 nights in Vienna, and then 5 nights in another destination (either Salzburg, or Zell Am See, or Innsbruck etc..) and then do day trips...
For the 5 nights I want to be in a scenic charming destination with beautiful views, and do day trips from there. Also, I prefer to stay somewhere where there are grocery shops and restaurants, but not in a crowded place (somewhere quiet and cosy).
I visited Grindelwald in Switzerland couple of years back and I might be expecting something similar.
Where do you suggest for the 5 nights?",2016,Travelerr07,"Charlotte, North...",32,Austria,1,are places graz innsbruck possible day trips salzburg zell am seemy plan stay nights vienna nights another destination either salzburg zell am see innsbruck etc.. day trips...for nights i want scenic charming destination beautiful views day trips there. also i prefer stay somewhere grocery shops restaurants crowded place somewhere quiet cosy.i visited grindelwald switzerland couple years back i might expecting something similar.where suggest nights,1,0,1,1,
"Having stayed in Grindelwald several yeras ago for Christmas (our son was working there) I'd still say St Gilgen---smaller than Grindelwald and not as many bars/restaurants or Bad Ischl. Lots of supermarkets and some very upmarket shops. We particularly like the KuK bar and the KuK Hofwirt restaurant for a really authentic feel and excellent beer!!!
Edited: 7 years ago",2016,roefamilyUk,"York, United Kingdom",64,Austria,1,having stayed grindelwald several yeras ago christmas son working id still say st gilgensmaller grindelwald many barsrestaurants bad ischl. lots supermarkets upmarket shops. we particularly like kuk bar kuk hofwirt restaurant really authentic feel excellent beeredited: years ago,0,2,1,#N/A,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2017,,,,Austria,1,this topic closed new posts due inactivity.what forum guidelines,2,0,0,0,
What is best travel kettle to take to use in Austria hotel,2022,doreen R,"Kent, United Kingdom",116,Austria,1,what best travel kettle take use austria hotel,1,0,0,0,
"none. it is possible that you would not be allowed to use it. apart from that, it is more than likely that your hotel would have a kettle in the room, or if not, they would provide one for you",2022,nakagoli,"Dublin, Ireland",79,Austria,1,none. possible would allowed use it. apart likely hotel would kettle room would provide one,1,2,1,1,
The smallest then it doesn’t take up space in your luggage.,2022,Norman C,"Colne, United...",206,Austria,1,the smallest doesnt take space luggage.,0,2,0,0,
We always take a small Tefal kettle for use on overnight ferries and hotels.,2022,roefamilyUk,"York, United Kingdom",64,Austria,1,we always take small tefal kettle use overnight ferries hotels.,1,0,1,1,
"Hi all ! I wanted to get some opinions of where to go and stay in Belgium! I will be coming from Amsterdam and it was only be a two night stay! I was wondering where the best place to stay is in order to see the most of the country... or where the best places to go and see are. Obviously waffles are important!
Thanks for the help!",2017,Tara E,Pittsburgh...,No Rating,Belgium,2,hi i wanted get opinions go stay belgium i coming amsterdam two night stay i wondering best place stay order see country... best places go see are. obviously waffles importantthanks help,0,0,1,0,
"The closest city in Belgium to Amsterdam, and one you would have to travel through to get anywhere else in Belgium by train, coming from Amsterdam, is Antwerp.
Whether you want to stay there for 2 nights or just visit for the day before moving on to e.g. Brugge, Ghent or Brussels is entirely up to you. You need to read up on those - and/or other - places to decide where YOU want to go to. This map provides the relevant links: http://www.eupedia.com/belgium/map_belgium.shtml
You cannot possibly see ""most of the country"" in 2 days. Belgium might be small but it's not San Marino.",2017,qaminari,"Brussels, Belgium",2,Belgium,2,the closest city belgium amsterdam one would travel get anywhere else belgium train coming amsterdam antwerp.whether want stay nights visit day moving e.g. brugge ghent brussels entirely you. you need read andor places decide you want go to. this map provides relevant links: you cannot possibly see country days. belgium might small san marino.,1,1,0,1,
Where are you going after Belgium?,2017,Matt_pool,"Liverpool, United...",126,Belgium,2,where going belgium,0,0,0,0,
Back to Paris!,2017,Tara E,Pittsburgh...,No Rating,Belgium,2,back paris,1,0,0,0,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2018,,,,Belgium,2,this topic closed new posts due inactivity.what forum guidelines,0,0,0,0,
"Hi,
I am travelling to Belgium from Amsterdam for two days third day head back by train to Amsterdam schipol airport to fly back.
Which city is a must see in Belgium.Where should i base myself.Thx in advance",2019,Pr620,,22,Belgium,2,hii travelling belgium amsterdam two days third day head back train amsterdam schipol airport fly back.which city must see belgium.where base myself.thx advance,1,0,1,1,
No cities or attractions are must sees. We all like different things. What are your interests please? You have already decided to visit Belgium so what places are on your list already? Another way to approach it is to say why you decided on Belgium rather than France or Germany. Tell us more please.,2019,bestcornishcat,United Kingdom,157,Belgium,2,no cities attractions must sees. we like different things. what interests please you already decided visit belgium places list already another way approach say decided belgium rather france germany. tell us please.,0,2,0,0,
"It depends on your interests, you could go to Ypres for the history of World War 1. You could go to Bruges, a lovely place, or a larger city like Brussels. If you tell us your interests you will get plenty of ideas.",2019,Howlo,"Buckingham, United...","1,379",Belgium,2,it depends interests could go ypres history world war . you could go bruges lovely place larger city like brussels. if tell us interests get plenty ideas.,1,1,1,1,
"In amsterdam for work so have the weekend free to visit Belgium.Have heard a lot about Bruge.
But Amsterdam to Bruges is 3hrs so have decided to base in Antwerp n do a day trip to Bruge.
Still deciding between Bruge and Ghent.
Interested in walking around the old city centres which i have heard are very beautiful.So to answer your question i am interested in history,architecture,food of these cities.thx",2019,Pr620,,22,Belgium,2,in amsterdam work weekend free visit belgium.have heard lot bruge.but amsterdam bruges hrs decided base antwerp n day trip bruge.still deciding bruge ghent.interested walking around old city centres heard beautiful.so answer question interested historyarchitecturefood cities.thx,0,0,1,0,
"Sleeping in Antwerpen is what I would do as well in your situation. For the day trip I would limit myself to Gent. It's quicker to get to (get of the train at Gent-Dampoort, closer to the centre) and the old town is definitely worth a visit.
If you have to choose between Saturday and Sunday for the visit to Gent, choose the Sunday. Saturday is a good day for Antwerpen.",2019,kbbcn,Europe,No Rating,Belgium,2,sleeping antwerpen i would well situation. for day trip i would limit gent. its quicker get get train gentdampoort closer centre old town definitely worth visit.if choose saturday sunday visit gent choose sunday. saturday good day antwerpen.,1,1,1,1,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2020,,,,Belgium,2,this topic closed new posts due inactivity.what forum guidelines,2,0,0,0,
"Looking for a tour of bikes and beer in Belgium for summer 2012. Any experience, suggestions? Thanks!",2012,wesocruz,Santa Cruz...,No Rating,Belgium,2,looking tour bikes beer belgium summer . any experience suggestions thanks,1,0,1,1,
"I'd suggest using a more specific title for your question, to avoid people having to open it to find out what you are asking!
Cycling tours of Belgium, whether or not focussing on beer, are generally organised by non-Belgian tour operators, mostly from the U.S., see http://www.experienceplus.com/tours/tours.html?tid=2474, http://www.bikebelgium.com/beertour.aspx http://bikesherpa.com/biketours/beer-connoisseurs, http://www.vbt.com/tours/Holland--Belgium-Bike--Barge-Amsterdam-2012_484.aspx, http://tours.finishlinecycling.com/details/23711/Beer-Bikes-and-Belgium, http://www.bonbeer.com/page2.php - local tour companies also listed on here: http://www.visitbelgium.com/index.php/special-interests/hiking-biking
I have no experience of any of them but I think I have seen comments in this forum (or the one for Ghent?) about bike-and-barge tours, and you can generally find reviews of tours on websites like epinion.",2012,qaminari,"Brussels, Belgium",2,Belgium,2,id suggest using specific title question avoid people open find askingcycling tours belgium whether focussing beer generally organised nonbelgian tour operators mostly u.s. see local tour companies also listed here: i experience i think i seen comments forum one ghent bikeandbarge tours generally find reviews tours websites like epinion.,1,1,0,1,
"You can check http://www.cruisebelgie.com for a Belgian based company.
We have just one barge De 4 Vaargetijden. We started in 1999 and served over 1600 happy guest from all over the world!
Groups up-to 8 persons can book the whole barge and get a tailor-made itinerary. More than one brewer from the USA came aboard to explore the Belgian speciality beers.
Booking by cabin is also possible. The cultural week tour C offers a lot for the bikers and beer-lovers.
Belgium is surely worth a visit. I'm sure you're
going to like it!",2012,OlgaDe4Vaargetijden,"Oudenaarde, Belgium",No Rating,Belgium,2,you check belgian based company.we one barge de vaargetijden. we started served happy guest worldgroups upto persons book whole barge get tailormade itinerary. more one brewer usa came aboard explore belgian speciality beers.booking cabin also possible. the cultural week tour c offers lot bikers beerlovers.belgium surely worth visit. im sure youregoing like,1,1,1,1,
"DIY is the most affordable answer to your question. Click http://maps.google.be/maps/ms?msid=215743440519068246688.00049b24711c7b308ee81&msa=0 , choose a region and check the different breweries. All have special requirements, as they are in general (except for the big players) only open on fixed moments for individual visitors.
The southern area of West Flanders is a good deal as it's also a perfect and not too hilly area for cycling.",2012,OlgaDe4Vaargetijden,"Barcelona, Spain",130,Belgium,2,diy affordable answer question. click choose region check different breweries. all special requirements general except big players open fixed moments individual visitors.the southern area west flanders good deal also perfect hilly area cycling.,1,1,0,1,
"We are looking to Holiday in Canada in May, we have a Camper for 13 days are I'm after a bit of advice on what to see and if May is a good time to go? We have 2 children aged 3 and 2, Can anyone help",2016,Canadahelp,,No Rating,Canada,3,we looking holiday canada may camper days im bit advice see may good time go we children aged can anyone help,1,0,0,0,
"Perhaps you narrow down which part of Canada you want to visit. It's a gigantic country.
http://www.tripadvisor.com/Travel-g153339-c120390/Canada:Where.Should.I.Go.In.Canada.html
Also tell us where you're coming from.",2016,phpr,SE Ontario,26,Canada,3,perhaps narrow part canada want visit. its gigantic country.also tell us youre coming from.,0,1,2,#N/A,
"Good point! We are planning to fly into Calgary and out of Vancouver, we are looking to travel to the Rockies and visit as much as we can on route.",2016,Canadahelp,,No Rating,Canada,3,good point we planning fly calgary vancouver looking travel rockies visit much route.,0,0,1,0,
"Then please go to the Canadian Rockies forum and re-post - lost of info there:
https://www.tripadvisor.ca/ShowForum-g659487-i11598-Canadian_Rockies_Alberta.html",2016,phpr,SE Ontario,26,Canada,3,then please go canadian rockies forum repost lost info there:,1,1,0,1,
"The British Columbia forum will also be helpful, since a lot of your itinerary is in that province. Both the BC and the CR forums have extensive trip reports compiled in the ""Top Questions"" section at the top right of the forum page - if you are on the full website (i.e. on a desktop computer) and not the app or the mobile site. Have a read through some of those - they'll have tons of invaluable information to help you plan your itinerary.
Bring warm clothing - although daytime highs can be quite pleasant in May, in the Canadian Rockies, night time lows will often be close to or below freezing. So evenings and mornings in the campsite will be chilly although that won't be a problem if you are dressed for it. Here is weather data for Jasper from last year: http://climate.weather.gc.ca/climateData/dailydata_e.html?StationID=10223&timeframe=2&Year=2015&Month=5&cmdB1=Go# (Banff and Canmore will be similar.)",2016,krp329,"Jasper, Canada",187,Canada,3,the british columbia forum also helpful since lot itinerary province. both bc cr forums extensive trip reports compiled top questions section top right forum page full website i.e. desktop computer app mobile site. have read theyll tons invaluable information help plan itinerary.bring warm clothing although daytime highs quite pleasant may canadian rockies night time lows often close freezing. so evenings mornings campsite chilly although wont problem dressed it. here weather data jasper last year: banff canmore similar.,1,1,0,1,
"Add your location to your account information so it shows below your avatar and you will no doubt benefit from freely offered advice, just from our seeing it.",2016,MuftiVancouver,"Vancouver, Canada",97,Canada,3,add location account information shows avatar doubt benefit freely offered advice seeing it.,1,1,1,1,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2017,,,,Canada,3,this topic closed new posts due inactivity.what forum guidelines,1,0,0,0,
"This post has been removed at the author's request.
To read more about editing your posts, please follow this link: http://www.tripadvisor.com/help/how_to_edit_your_posts",2016,,Toronto,,Canada,3,this post removed authors request.to read editing posts please follow link:,1,0,2,#N/A,
"Then post your questions in the Vancouver forum ( http://www.tripadvisor.ca/ShowForum-g154943-i81-Vancouver_British_Columbia.html ) or the Rocky Mountains forum ( http://www.tripadvisor.ca/ShowForum-g659487-i11598-Canadian_Rockies_Alberta.html ), not the Canada forum. The Canada forum is an agglomeration of all the destination forums within Canada, so topics posted to it tend to get pushed off the first page fairly quickly by the sheer volume of threads from all the different local forums, and some people just read the local forums anyway.
And when you do post it consider a more descriptive thread title. Canada is a lot bigger than what you're planning to do.",2016,tweedwolfscream,"Jasper, Canada",No Rating,Canada,3,then post questions vancouver forum rocky mountains forum canada forum. the canada forum agglomeration destination forums within canada topics posted tend get pushed first page fairly quickly sheer volume threads different local forums people read local forums anyway.and post consider descriptive thread title. canada lot bigger youre planning do.,1,1,1,1,
"Before posting your questions, I would recommend spending some time ""lurking"" and just reading the posts on the forums (or do some searches for relevant terms, such as ""train"" and ""Rocky Mountaineer""), as well as the other TripAdvisor resources - the Top Questions, Traveller Articles etc. for the various destinations. Your trip is at least a year off and from the sounds of it, you are planning what is a fairly standard type of visit.... there's already tons of information here on TA for you. Also, check the Rocky Mountaineer website for further information: http://www.rockymountaineer.com",2016,krp329,"Vancouver, Canada",187,Canada,3,before posting questions i would recommend spending time lurking reading posts forums searches relevant terms train rocky mountaineer well tripadvisor resources top questions traveller articles etc. various destinations. your trip least year sounds planning fairly standard type visit.... theres already tons information ta you. also check rocky mountaineer website information:,0,1,0,0,
"Welcome to the forum, a9xbutts ~
IMO, do a self drive some time between mid-June and mid-September. The train is an inflated excursion and has you fixed on the tracks. A self drive will give you freedom and flexibility across the same territory.
3 weeks is a great amount of time. You could do a R/T Vancouver > Vancouver, including a week on Vancouver Island. Or a O/W from Vancouver > Calgary, including a week on Vancouver Island, saving yourself the 2 nights (or so) needed to get back to Vancouver. One way car rentals for Aussies can be had without a one way drop fee from Canadian Affair:
http://www.canadianaffair.com/holidays/canada/car-hire-holidays#car-hire-oneway
The British Columbia Forum has more information for your planning than the Vancouver Forum. Top Questions, as mentioned, can be found on the right side of the page (not on a phone): http://www.tripadvisor.com/ShowForum-g154922-i80-British_Columbia.html
Good advice above to compose an effective subject line. That needs to tell us the main gist of what it is you want info about.",2016,MuftiVancouver,"Vancouver, Canada",97,Canada,3,welcome forum axbutts imo self drive time midjune midseptember. the train inflated excursion fixed tracks. a self drive give freedom flexibility across territory. weeks great amount time. you could rt vancouver vancouver including week vancouver island. or ow vancouver calgary including week vancouver island saving nights needed get back vancouver. one way car rentals aussies without one way drop fee canadian affair:the british columbia forum information planning vancouver forum. top questions mentioned found right side page phone: good advice compose effective subject line. that needs tell us main gist want info about.,0,1,1,1,
"I can't imagine WHY anyone thinks that spending that much money on a train trip makes sense..... I know, lots of people do it and love it, and I guess if you have bottomless pockets then what the hey! But for my money, there are just so many other options.
July through September. Rent a car and self-drive. Plan it yourself, although you can start with a travel agents itinerary (which we will then tear apart and rebuild for you. :> )",2016,Vancouverite67,"Vancouver, Canada",47,Canada,3,i cant imagine why anyone thinks spending much money train trip makes sense..... i know lots people love i guess bottomless pockets hey but money many options.july september. rent car selfdrive. plan although start travel agents itinerary tear apart rebuild you. :,0,2,1,#N/A,
"This post has been removed at the author's request.
To read more about editing your posts, please follow this link: http://www.tripadvisor.com/help/how_to_edit_your_posts",2016,,Greater Sydney...,,Canada,3,this post removed authors request.to read editing posts please follow link:,1,0,2,#N/A,
"This post has been removed at the author's request.
To read more about editing your posts, please follow this link: http://www.tripadvisor.com/help/how_to_edit_your_posts",2016,,,,Canada,3,this post removed authors request.to read editing posts please follow link:,1,0,2,#N/A,
"Well, I think the train is luxury service and depending on the class of service you could have either the double decker carriage with the glass domed observation windows upstairs and a dedicated dining area downstairs OR the single level carriage with the oversized windows and meals delivered to your seat.
http://www.rockymountaineer.com/en_CA/service_level
The scenery is what it is either by train or by car. You stop at the end of the first day in gritty Kamloops in a 3* hotel. This allows everyone to start up again the next morning, seeing the whole route in daylight. Our national VIA Rail rolls all night, creating about 8-10 hours of the 20 hour journey to be in the dark. The RM is not a fast train, it is a sightseeing train. Freight trains take priority and there may be a fair bit of waiting in sidings until the various trains clear and the RM can continue. Some people really like the train but for the cost, you could take a 7 day cruise to Alaska and you could certainly pay for a pretty nifty holiday here with a self drive and nice hotels. The benefits to a rental car is that you can see and take photos of those same wonderful vistas but on your own schedule and route. You can go places the train tracks don't go. Nothing wrong with taking the RM, it's something that you need to know why you're deciding one way or the other. It's about priorities and what kind of holiday you would like to have. When you read some of those Trip Reports in the Top Questions (I think I linked them in post 3, the blue printing) you can see what kind of trip others have reported on. Just so you and other future visitors could get an idea of what's possible with a car.
Here are reviews of the RM to see how those who chose that trip method liked it: http://www.tripadvisor.com/Attraction_Review-g154943-d1554681-Reviews-The_Rocky_Mountaineer_Train-Vancouver_British_Columbia.html",2016,MuftiVancouver,,97,Canada,3,well i think train luxury service depending class service could either double decker carriage glass domed observation windows upstairs dedicated dining area downstairs or single level carriage oversized windows meals delivered seat.the scenery either train car. you stop end first day gritty kamloops hotel. this allows everyone start next morning seeing whole route daylight. our national via rail rolls night creating hours hour journey dark. the rm fast train sightseeing train. freight trains take priority may fair bit waiting sidings various trains clear rm continue. some people really like train cost could take day cruise alaska could certainly pay pretty nifty holiday self drive nice hotels. the benefits rental car see take photos wonderful vistas schedule route. you go places train tracks dont go. nothing wrong taking rm something need know youre deciding one way other. its priorities kind holiday would like have. when read trip reports top questions i think i linked post blue printing see kind trip others reported on. just future visitors could get idea whats possible car.here reviews rm see chose trip method liked it:,0,1,1,1,
"where can I find chile's entry declaration form.
Or what is the latest on what you can bring into Chile?
Can you bring packaged backpacking food such as Mountain House",2020,walkwlak,,No Rating,Chile,4,i find chiles entry declaration form.or latest bring chilecan bring packaged backpacking food mountain house,2,0,0,0,
"Commercially packaged and sealed backpacking food is fine.
But it must be declared (Sí/Yes) on the customs form. Not declaring things of animal and vegetable origin (including the stuff you took from your airline meal tray) have stiff fines.",2020,eeuunikkeiexpat,"San Antonio, Chile",1,Chile,4,commercially packaged sealed backpacking food fine.but must declared syes customs form. not declaring things animal vegetable origin including stuff took airline meal tray stiff fines.,1,1,2,1,
"The above advice is better than the list, which is a bit vague. No fresh food and no honey. Stick to sealed, commercially packed food.",2020,dancingmolly,"Santiago, Chile",111,Chile,4,the advice better list bit vague. no fresh food honey. stick sealed commercially packed food.,1,1,2,1,
"thanks, eeuunikkeiexpat, for the quick response. I'll go with your advice and just declare the packaged food.
Also I did accidentally find this pdf of the declaration form. It doesn't have a date on it though so I'm not sure if it is current.... http://www.sag.cl/sites/default/files/dj_2016_editable_0.pdf",2020,walkwlak,,No Rating,Chile,4,thanks eeuunikkeiexpat quick response. ill go advice declare packaged food.also i accidentally find pdf declaration form. it doesnt date though im sure current....,1,1,2,1,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2021,,,,Chile,4,this topic closed new posts due inactivity.what forum guidelines,2,0,0,0,
